FriendlyName,FileName,URL,isZipped
WPILib Docs (HTML),frc-docs-latest.zip,https://readthedocs.org/projects/frc-docs/downloads/htmlzip/latest/,TRUE
WPILib Docs (PDF),WPILib.pdf,https://readthedocs.org/projects/frc-docs/downloads/pdf/latest/,FALSE
REV-SPARK-MAX,SPARK-MAX-Software-All-CSATool-031219.zip,http://www.revrobotics.com/content/sw/max/SPARK-MAX-Software-All-CSATool-031219.zip,TRUE
2020Manual,2020FRCGameSeasonManual.pdf,https://firstfrc.blob.core.windows.net/frc2020/Manual/2020FRCGameSeasonManual.pdf,FALSE
WPILib-Offline-Installer64,WPILibInstaller_Windows64-2020.1.2.zip,https://github.com/wpilibsuite/allwpilib/releases/download/v2020.1.2/WPILibInstaller_Windows64-2020.1.2.zip,TRUE
WPILib-Offline-Installer,WPILibInstaller_Windows32-2020.1.2.zip,https://github.com/wpilibsuite/allwpilib/releases/download/v2020.1.2/WPILibInstaller_Windows32-2020.1.2.zip,TRUE
Game Tools,ni-frc-2020-game-tools_19.0_online.exe,https://download.ni.com/support/nipkg/products/ni-f/ni-frc-2020-game-tools/19.0/online/ni-frc-2020-game-tools_19.0_online.exe,FALSE
Password,2020Password.txt,https://raw.githubusercontent.com/JamieSinn/CSA-USB-Tool/master/2020Password.txt,FALSE
CTRE-Phoenix-Win,Phoenix-diagnostics-Tuner-v1.5.5.zip,https://github.com/CrossTheRoadElec/Phoenix-Releases/releases/download/Tuner_v1.5.5/Phoenix-diagnostics-Tuner-v1.5.5.zip,TRUE
RadioConfigTool,FRC_Radio_Configuration_20_0_0.zip,https://firstfrc.blob.core.windows.net/frc2020/Radio/FRC_Radio_Configuration_20_0_0.zip,TRUE
RadioConfigTool-ISRAEL,FRC_Radio_Configuration_20_0_0_IL.zip,https://firstfrc.blob.core.windows.net/frc2020/Radio/FRC_Radio_Configuration_20_0_0_IL.zip,TRUE
NavX,navx-mxp.zip,https://www.kauailabs.com/public_files/navx-mxp/navx-mxp.zip,TRUE
VSCode-1.30.1,VSCode-win32.zip,https://vscode-update.azurewebsites.net/1.30.1/win32-archive/stable,TRUE
VSCode-1.30.1-64,VSCode-win64.zip,https://vscode-update.azurewebsites.net/1.30.1/win32-x64-archive/stable,TRUE
VSCode-Cpp,VSCode-Cpp.vsix,https://github.com/Microsoft/vscode-cpptools/releases/download/0.21.0/cpptools-win32.vsix,FALSE
DotNet4.6.2,NDP462-KB3151800-x86-x64-AllOS-ENU.exe,https://download.microsoft.com/download/F/9/4/F942F07D-F26F-4F30-B4E3-EBD54FABA377/NDP462-KB3151800-x86-x64-AllOS-ENU.exe,FALSE
Python 3.8.1,python-3.8.1.exe,https://www.python.org/ftp/python/3.8.1/python-3.8.1.exe,FALSE
OpenCV,opencv-4.2.0-vc14_vc15.exe,https://sourceforge.net/projects/opencvlibrary/files/4.2.0/opencv-4.2.0-vc14_vc15.exe/download,
